IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.31.206,vuln-1.lan,9200,tcp,10.0,High,80,"VendorFix","Elasticsearch End of Life (EOL) Detection","The Elasticsearch version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Elasticsearch"" version on the remote host has reached the end of life.

CPE:               cpe:/a:elastic:elasticsearch:1.4.2
Installed version: 1.4.2
EOL version:       1.4
EOL date:          2016-05-05
",1.3.6.1.4.1.25623.1.0.113131,"",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,c8401ab1-54a4-45d6-b457-66c67c3b0dfb,"An EOL version of Elasticsearch is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update Elasticsearch to a version that still receives technical support and updates.","","","Checks if an EOL version is present on the target host.
Details:
Elasticsearch End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.113131)
Version used: 2023-07-20T05:05:17Z
","","","",""
192.168.31.55,vuln-1.lan,8161,tcp,10.0,High,98,"Mitigation","Apache ActiveMQ Web Console Default / No Credentials (HTTP)","The Apache ActiveMQ Web Console is unprotected or is using
  default credentials.","It was possible to access the Apache ActiveMQ Web Console at:

http://vuln-1.lan:8161/admin/index.jsp using user ""admin"" with password ""admin""

http://vuln-1.lan:8161/admin/index.jsp using user ""user"" with password ""user""
",1.3.6.1.4.1.25623.1.0.108253,"",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,0ca04500-fe2f-49b6-b60c-3d8378e4584a,"This issue may be exploited by a remote attacker to gain access
  to sensitive information.","Change or set the password.","","","
Details:
Apache ActiveMQ Web Console Default / No Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.108253)
Version used: 2023-02-28T10:20:42Z
","","","",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Multiple Vulnerabilities (APSB16-16)","Adobe ColdFusion is prone to multiple vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     11.0.08.298512
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.807588,"CVE-2016-1113,CVE-2016-1114,CVE-2016-1115",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,8202a4e0-76ff-42b1-bb08-1c2bf7cf9952,"Successful exploitation will allow remote
  attackers to inject arbitrary web script or HTML via unspecified vectors
  and allow man-in-the-middle attackers to spoof servers.","Upgrade to version 10 Update 19 or
  11 Update 8 or later.","ColdFusion 10 before Update 19 and
  11 before Update 8.","Multiple flaws are due to:

  - An insufficient validation of user supplied input via unspecified vectors.

  - An important Java deserialization vulnerability in
    Apache Commons Collections library.

  - The mishandling of wildcards in name fields of X.509 certificates.","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion Multiple Vulnerabilities (APSB16-16)
(OID: 1.3.6.1.4.1.25623.1.0.807588)
Version used: 2023-07-21T05:05:22Z
","","","DFN-CERT-2016-0748,CB-K16/0695",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Multiple Vulnerabilities (APSB17-14)","Adobe ColdFusion is prone to cross site scripting (XSS)
  and remote code execution (RCE) vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     11.0.12.302575
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.810938,"CVE-2017-3008,CVE-2017-3066",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,0f5cc2c0-7146-4fb7-a777-2106da4c8b36,"Successful exploitation will allow remote
  attackers to execute arbitrary code in the context of the affected application.
  Failed exploits will result in denial-of-service conditions, steal cookie-based
  authentication credentials and to launch other attacks.","Upgrade to version 11 Update 12 or
  10 Update 23 or 2016 update 4 or later.","ColdFusion 11 before 11 Update 12,
  and 10 before 10 Update 23, ColdFusion 2016 before update 4.","Multiple flaws are due to:

  - An unspecified input validation error.

  - A java deserialization error.","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion Multiple Vulnerabilities (APSB17-14)
(OID: 1.3.6.1.4.1.25623.1.0.810938)
Version used: 2023-07-25T05:05:58Z
","","","DFN-CERT-2017-0718,CB-K17/0696",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Multiple Vulnerabilities (APSB18-14)","Adobe ColdFusion is prone to multiple vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     11.0.14.307976
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.813083,"CVE-2018-4938,CVE-2018-4939,CVE-2018-4940,CVE-2018-4941,CVE-2018-4942",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,5d776793-42d0-47b3-8831-6b05b15af5cf,"Successful exploitation will allow remote
  attackers to execute arbitrary code in the context of the affected application,
  disclose sensitive information and also to escalate privileges.","Upgrade Adobe ColdFusion 11 Update 14 or later. Please see the references for more information.","Adobe ColdFusion version 11 before Update 14.","Multiple flaws are due to:

  - An insecure library loading error.

  - Multiple input validation errors.

  - An unsafe XML parsing error.

  - The deserialization of untrusted data.","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion Multiple Vulnerabilities (APSB18-14)
(OID: 1.3.6.1.4.1.25623.1.0.813083)
Version used: 2023-07-20T05:05:17Z
","","","DFN-CERT-2018-0683",""
192.168.31.206,vuln-1.lan,3306,tcp,9.8,High,95,"Mitigation","MySQL / MariaDB Default Credentials (MySQL Protocol)","It was possible to login into the remote MySQL as
  root using weak credentials.","It was possible to login as root with password ""root"".


",1.3.6.1.4.1.25623.1.0.103551,"CVE-2001-0645,CVE-2004-2357,CVE-2006-1451,CVE-2007-2554,CVE-2007-6081,CVE-2009-0919,CVE-2014-3419,CVE-2015-4669,CVE-2016-6531,CVE-2018-15719",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,7457fac8-cf66-4f55-ac63-9a665d3a3ad8,"","'- Change the password as soon as possible

  - Contact the vendor for other possible fixes / updates","The following products are know to use such weak credentials:

  - CVE-2001-0645: Symantec/AXENT NetProwler 3.5.x

  - CVE-2004-2357: Proofpoint Protection Server

  - CVE-2006-1451: MySQL Manager in Apple Mac OS X 10.3.9 and 10.4.6

  - CVE-2007-2554: Associated Press (AP) Newspower 4.0.1 and earlier

  - CVE-2007-6081: AdventNet EventLog Analyzer build 4030

  - CVE-2009-0919: XAMPP

  - CVE-2014-3419: Infoblox NetMRI before 6.8.5

  - CVE-2015-4669: Xsuite 2.x

  - CVE-2016-6531, CVE-2018-15719: Open Dental before version 18.4

  Other products might be affected as well.","","
Details:
MySQL / MariaDB Default Credentials (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103551)
Version used: 2023-11-02T05:05:26Z
","Product: cpe:/a:mysql:mysql:5.7.39
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Multiple Vulnerabilities (APSB19-10)","Adobe ColdFusion is prone to code execution and
  information disclosure vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     ColdFusion 11 Update 16
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.814687,"CVE-2019-7091,CVE-2019-7092",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,afa17afa-ee4c-41f3-9f61-5b4f1f4cbf15,"Successful exploitation will allow remote
  attackers to execute arbitrary code in the context of the affected application
  and disclose sensitive information.","Upgrade to Adobe ColdFusion 11 Update 16 or
  later. Please see the references for more information.","Adobe ColdFusion version 11 before Update 16.","Multiple flaws are due to an improper validation
  and deserialization of untrusted data.","Checks if a vulnerable version is present
  on the target host.
Details:
Adobe ColdFusion Multiple Vulnerabilities (APSB19-10)
(OID: 1.3.6.1.4.1.25623.1.0.814687)
Version used: 2023-09-19T05:06:03Z
","","","DFN-CERT-2019-0301",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Multiple Vulnerabilities (APSB18-33)","Adobe ColdFusion is prone to multiple vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     11.0.15.311399
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.813925,"CVE-2018-15965,CVE-2018-15957,CVE-2018-15958,CVE-2018-15959,CVE-2018-15964,CVE-2018-15963,CVE-2018-15962,CVE-2018-15961,CVE-2018-15960",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,22200ffc-b137-45a9-b1a2-ca4a00e9e548,"Successful exploitation will allow remote
  attackers to execute arbitrary code, disclose information, create arbitrary
  page and overwrite arbitrary file.","Upgrade Adobe ColdFusion to ColdFusion 2018
  Update 1 or ColdFusion 2016 Update 7 or ColdFusion 11 Update 15 or later. Please see the references for more information.","Adobe ColdFusion 2018 (July 12 release),
  ColdFusion 2016 update 6 and earlier, ColdFusion 11 Update 14 and earlier.","Multiple flaws are due to:

  - An error while deserialization of untrusted data.

  - Use of a component with a known vulnerability.

  - A security bypass vulnerability.

  - Unauthorized access to directory listing.

  - Unrestricted file upload.","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion Multiple Vulnerabilities (APSB18-33)
(OID: 1.3.6.1.4.1.25623.1.0.813925)
Version used: 2023-07-20T05:05:17Z
","","","DFN-CERT-2018-1841",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Multiple Vulnerabilities (APSB19-27)","Adobe ColdFusion is prone to multiple vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     11.0.19.314546
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.112084,"CVE-2019-7838,CVE-2019-7840",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,9e37007a-35e6-4c29-94e3-a1c3d56862d6,"Successful exploitation could lead to arbitrary code execution.","Update to version 11 Update 19, version 2016 Update 11 or version 2018 Update 4 respectively.","Adobe ColdFusion version 11 prior to Update 19, version 2016 prior to Update 11 and version 2018 prior to Update 4.","The following vulnerabilities exist:

  - File extension blacklist bypass (CVE-2019-7838)

  - Deserialization of untrusted data (CVE-2019-7840)","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion Multiple Vulnerabilities (APSB19-27)
(OID: 1.3.6.1.4.1.25623.1.0.112084)
Version used: 2021-08-30T14:01:20Z
","","","DFN-CERT-2019-1168",""
192.168.31.55,vuln-1.lan,3000,tcp,9.8,High,80,"VendorFix","Grafana 6.3.0-beta1 < 8.5.16, 9.x < 9.2.8, 9.3.0 < 9.3.2 SAML Privilege Escalation Vulnerability (GHSA-5hcf-rqj9-xh96)","Grafana is prone to a privilege escalation vulnerability via
  SAML.","Installed version: 8.2.6
Fixed version:     8.5.16
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.149215,"CVE-2022-41912",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,ad4ae7b9-c415-451f-b9fc-2edff3da478f,"","Update to version 8.5.16, 9.2.8, 9.3.2 or later.","Grafana version 6.3.0-beta1 through 9.3.1.","Grafana Enterprise is using crewjam/saml library for SAML
  integration. On Nov 30, 2022 an advisory and relevant fix was published in the upstream library,
  which described a vulnerability allowing privilege escalation when processing SAML responses
  containing multiple assertions.

  The vulnerability is possible to exploit only when a SAML document is not signed and multiple
  assertions are being used, where at least one assertion is signed. As a result, an attacker could
  intercept the SAML response and add any unsigned assertion, which would be parsed as signed by
  the library.","Checks if a vulnerable version is present on the target host.
Details:
Grafana 6.3.0-beta1 < 8.5.16, 9.x < 9.2.8, 9.3.0 < 9.3.2 SAML Privilege Esca...
(OID: 1.3.6.1.4.1.25623.1.0.149215)
Version used: 2023-10-13T05:06:10Z
","","","DFN-CERT-2023-1395,DFN-CERT-2023-0323,DFN-CERT-2023-0291,DFN-CERT-2023-0044,DFN-CERT-2023-0030,DFN-CERT-2022-2864,WID-SEC-2023-0202,WID-SEC-2022-2338",""
